Column1;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;109,0Hz;109,4Hz
Period               :;9,175ms;9,137ms
PK-PK                :;704,0mV;144,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,500000mV;0,500000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
436;-96;32
437;-88;40
438;-88;40
439;-96;32
440;-88;32
441;-88;32
442;-80;40
443;-80;32
444;-80;32
445;-80;32
446;-72;32
447;-72;32
448;-72;32
449;-72;32
450;-64;32
451;-64;24
452;-64;32
453;-56;24
454;-56;24
455;-56;24
456;-48;24
457;-48;24
458;-48;24
459;-40;16
460;-56;16
461;-40;8
462;-40;16
463;-40;16
464;-32;8
465;-32;8
466;-32;16
467;-32;8
468;-24;8
469;-24;8
470;-24;8
471;-16;16
472;-16;16
473;-16;16
474;-8;24
475;-8;24
476;-8;24
477;-8;32
478;0;40
479;0;40
480;0;40
481;8;40
482;0;40
483;8;48
484;16;48
485;16;48
486;16;48
487;16;48
488;24;48
489;24;48
490;24;48
491;24;40
492;32;48
493;32;48
494;32;40
495;32;48
496;32;40
497;40;40
498;40;40
499;48;40
500;48;32
501;48;40
502;32;40
503;56;40
504;56;40
505;56;40
506;56;32
507;48;40
508;64;32
509;56;40
510;72;40
511;72;32
512;72;40
513;80;32
514;88;32
515;80;40
516;80;32
517;88;32
518;88;40
519;88;32
520;88;32
521;88;40
522;96;40
523;96;32
524;96;40
525;104;32
526;96;32
527;104;32
528;112;32
529;104;32
530;112;32
531;112;32
532;112;32
533;120;32
534;120;32
535;128;32
536;120;40
537;128;32
538;128;32
539;128;32
540;128;32
541;136;32
542;144;32
543;136;24
544;136;24
545;144;24
546;144;24
547;144;16
548;144;24
549;144;16
550;144;16
551;152;16
552;152;16
553;152;8
554;160;8
555;160;8
556;160;8
557;168;8
558;168;8
559;168;8
560;168;8
561;176;0
562;176;16
563;168;16
564;184;16
565;176;16
566;184;24
567;184;24
568;184;24
569;184;32
570;192;40
571;192;40
572;192;40
573;192;48
574;192;40
575;200;48
576;200;48
577;224;48
578;200;48
579;200;48
580;208;48
581;200;48
582;208;48
583;208;48
584;216;40
585;216;40
586;216;40
587;216;40
588;224;40
589;208;40
590;224;40
591;224;40
592;224;40
593;224;40
594;232;40
595;232;40
596;232;40
597;232;40
598;240;-16
599;232;-16
600;240;-24
601;240;-24
602;240;-24
603;240;-24
604;240;-24
605;248;-32
606;248;-24
607;248;-32
608;248;-32
609;248;-32
610;256;-40
611;248;-40
612;256;-40
613;256;-40
614;256;-40
615;256;-40
616;256;-48
617;248;-48
618;264;-48
619;264;-48
620;264;-48
621;264;-40
622;264;-48
623;264;-48
624;280;-40
625;272;-40
626;272;-40
627;272;-40
628;280;-32
629;280;-32
630;272;-32
631;280;-24
632;280;-32
633;272;-24
634;280;-24
635;280;-16
636;288;-16
637;280;-16
638;288;-16
639;288;-16
640;288;-16
641;296;-8
642;288;-16
643;288;-16
644;296;-16
645;288;-8
646;296;-8
647;296;-8
648;296;-16
649;296;-16
650;296;-16
651;304;-16
652;288;-16
653;304;-16
654;304;-16
655;304;-16
656;304;-16
657;304;-16
658;304;-16
659;296;-16
660;304;-16
661;304;-24
662;312;-16
663;312;-16
664;312;-24
665;312;-24
666;336;-24
667;312;-24
668;312;-16
669;320;-24
670;320;-24
671;320;-16
672;320;-16
673;320;-24
674;312;-24
675;320;-24
676;320;-24
677;320;-24
678;312;-24
679;320;-24
680;320;-24
681;320;-24
682;328;-24
683;320;-24
684;328;-24
685;320;-24
686;328;-24
687;320;-24
688;328;-24
689;328;-24
690;328;-24
691;328;-24
692;328;-24
693;328;-24
694;328;-24
695;328;-24
696;328;-24
697;328;-24
698;328;-24
699;320;-32
700;328;-32
701;336;-32
702;336;-40
703;336;-40
704;328;-40
705;328;-40
706;344;-40
707;328;-40
708;336;-40
709;336;-40
710;336;-40
711;336;-48
712;336;-48
713;336;-48
714;328;-48
715;336;-48
716;336;-48
717;336;-40
718;336;-40
719;336;-40
720;344;-40
721;336;-40
722;336;-40
723;336;-32
724;336;-32
725;336;-32
726;336;-24
727;336;-24
728;328;-24
729;336;-24
730;336;-16
731;336;-16
732;328;-16
733;328;-8
734;336;-16
735;336;-16
736;328;-8
737;336;-16
738;336;-8
739;328;-16
740;336;-16
741;312;-16
742;336;-16
743;328;-16
744;328;-16
745;336;-16
746;320;-16
747;328;-16
748;320;-16
749;328;-16
750;328;-16
751;328;-16
752;328;-16
753;328;-16
754;328;-16
755;328;-16
756;320;-16
757;328;-24
758;328;-16
759;328;-16
760;328;-24
761;320;-24
762;320;-24
763;320;-16
764;320;-24
765;320;-24
766;320;-24
767;320;-24
768;320;-24
769;312;-24
770;320;-24
771;320;-24
772;320;-24
773;312;-24
774;312;-24
775;312;-16
776;312;-24
777;312;-24
778;312;-16
779;312;-24
780;312;-24
781;328;-24
782;304;-24
783;304;-24
784;312;-24
785;304;-24
786;304;-24
787;304;-32
788;304;-24
789;304;-24
790;304;-32
791;296;-32
792;296;-32
793;296;-40
794;296;-32
795;296;-32
796;304;-40
797;296;-40
798;288;-40
799;296;-48
800;288;-48
801;288;-40
802;288;-48
803;288;-40
804;288;-48
805;288;-48
806;280;-40
807;288;-40
808;288;-40
809;272;-32
810;280;-32
811;280;-32
812;272;-32
813;280;-32
814;280;-24
815;272;-24
816;280;-24
817;272;-16
818;272;-16
819;264;-8
820;264;-16
821;272;-16
822;264;-8
823;272;-8
824;264;-8
825;264;0
826;264;-8
827;264;0
828;256;-8
829;264;0
830;256;-8
831;256;0
832;248;-8
833;248;-8
834;256;-8
835;240;-8
836;248;-8
837;248;-8
838;248;-8
839;240;-8
840;240;-8
841;240;-8
842;240;-16
843;240;-8
844;232;-8
845;232;-8
846;232;-8
847;224;-8
848;224;-16
849;232;-8
850;224;-8
851;224;-8
852;224;-16
853;224;-16
854;216;-16
855;216;-16
856;208;-16
857;216;-8
858;216;-16
859;216;-16
860;216;-16
861;208;-16
862;208;-16
863;208;-16
864;200;-24
865;200;-16
866;200;-16
867;200;-16
868;200;-16
869;192;-16
870;200;-16
871;192;-16
872;184;-16
873;184;-16
874;184;-16
875;184;-16
876;184;-16
877;184;-24
878;176;-16
879;176;-16
880;176;-16
881;168;-24
882;168;-16
883;168;-16
884;168;-24
885;160;-24
886;160;-24
887;160;-24
888;160;-32
889;160;-32
890;152;-32
891;152;-32
892;152;-32
893;152;-32
894;152;-40
895;144;-40
896;136;-32
897;136;-40
898;112;-40
899;136;-40
900;136;-40
901;136;-40
902;136;-40
903;128;-40
904;128;-32
905;120;-40
906;128;-32
907;128;-32
908;120;-24
909;120;-24
910;120;-24
911;112;-16
912;112;-24
913;112;-16
914;112;-16
915;104;-8
916;104;-16
917;104;-8
918;96;-8
919;96;-8
920;96;-8
921;96;-8
922;88;-8
923;88;0
924;88;0
925;88;-8
926;80;0
927;80;0
928;80;-8
929;72;0
930;80;-8
931;80;-8
932;72;-8
933;72;-8
934;72;-8
935;64;-8
936;56;-8
937;56;-8
938;64;-8
939;56;-8
940;56;-16
941;56;-16
942;48;-16
943;48;-8
944;40;-8
945;32;-16
946;40;-16
947;40;-8
948;40;-16
949;32;-8
950;32;-16
951;24;-16
952;24;-16
953;24;-16
954;24;-16
955;24;-16
956;16;-16
957;16;-16
958;16;-16
959;8;-16
960;8;-16
961;0;-16
962;0;-16
963;0;-16
964;0;-16
965;0;-16
966;0;-16
967;-8;-16
968;-8;-16
969;-8;-16
970;-8;-16
971;-8;-16
972;-16;-16
973;0;-16
974;-24;-16
975;-24;-16
976;-24;-24
977;-32;-16
978;-32;-16
979;-32;-24
980;-32;-24
981;-40;-24
982;-40;-24
983;-40;-24
984;-40;-32
985;-48;-32
986;-48;-32
987;-40;-32
988;-56;-32
989;-56;-40
990;-56;-40
991;-56;-40
992;-64;-40
993;-56;-40
994;-64;-40
995;-64;-40
996;-64;-40
997;-72;-40
998;-72;-40
999;-72;-32
1000;-80;-40
1001;-80;-32
1002;-88;-32
1003;-80;-32
1004;-80;-24
1005;-88;-24
1006;-88;-24
1007;-96;-16
1008;-104;-16
1009;-96;-8
1010;-96;-8
1011;-96;-8
1012;-104;-8
1013;-112;-8
1014;-104;64
1015;-112;56
1016;-112;64
1017;-112;64
1018;-112;64
1019;-112;64
1020;-104;64
1021;-120;64
1022;-120;56
1023;-128;64
1024;-128;64
1025;-128;56
1026;-128;56
1027;-136;56
1028;-136;56
1029;-136;56
1030;-136;56
1031;-136;56
