 Column1 ;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;200,5Hz;202,2Hz
Period               :;4,987ms;4,947ms
PK-PK                :;412,0mV;96,00mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,250000mV;0,250000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
1;140;20
2;140;20
3;140;16
4;136;16
5;136;20
6;136;20
7;132;20
8;140;16
9;132;16
10;128;20
11;128;20
12;124;16
13;120;20
14;124;20
15;124;20
16;116;20
17;116;20
18;116;16
19;112;16
20;104;16
21;108;16
22;108;16
23;104;12
24;100;12
25;100;12
26;96;8
27;92;8
28;96;4
29;92;4
30;88;0
31;88;0
32;84;-4
33;84;-4
34;84;-4
35;80;-8
36;80;-8
37;76;-8
38;76;-8
39;72;-8
40;72;-8
41;56;-8
42;68;-8
43;64;-4
44;64;-4
45;60;0
46;56;4
47;56;4
48;52;4
49;52;8
50;52;12
51;48;12
52;44;16
53;44;20
54;40;20
55;40;24
56;36;24
57;32;28
58;32;28
59;28;28
60;28;28
61;24;28
62;32;32
63;20;32
64;16;32
65;16;28
66;12;32
67;12;28
68;8;28
69;8;28
70;4;28
71;0;28
72;0;28
73;-4;28
74;-4;24
75;-8;24
76;-16;24
77;-12;24
78;-12;20
79;-16;24
80;-16;24
81;-24;24
82;-24;20
83;-44;20
84;-28;20
85;-28;20
86;-32;20
87;-32;20
88;-36;20
89;-36;20
90;-44;20
91;-40;20
92;-40;20
93;-48;20
94;-48;20
95;-40;16
96;-52;20
97;-56;16
98;-56;20
99;-60;20
100;-60;20
101;-64;20
102;-60;20
103;-68;20
104;-68;20
105;-72;16
106;-72;16
107;-72;16
108;-80;12
109;-80;12
110;-84;8
111;-84;8
112;-84;8
113;-88;4
114;-88;4
115;-92;0
116;-88;0
117;-96;0
118;-96;-4
119;-100;-4
120;-100;-8
121;-104;-8
122;-104;-8
123;-100;-8
124;-108;-8
125;-108;-8
126;-112;-4
127;-112;-4
128;-112;-4
129;-120;-4
130;-124;4
131;-120;4
132;-120;8
133;-120;12
134;-124;12
135;-124;16
136;-128;20
137;-136;24
138;-128;24
139;-132;24
140;-136;28
141;-136;28
142;-136;28
143;-140;32
144;-140;32
145;-140;28
146;-140;32
147;-144;32
148;-144;32
149;-144;32
150;-148;28
151;-148;0
152;-148;4
153;-152;0
154;-152;4
155;-156;0
156;-156;0
157;-156;0
158;-136;-4
159;-160;-4
160;-160;-4
161;-160;-4
162;-160;-4
163;-164;-4
164;-164;-4
165;-160;-4
166;-168;-4
167;-164;-4
168;-168;-4
169;-168;-8
170;-176;-8
171;-168;-8
172;-168;-8
173;-168;-8
174;-172;-8
175;-172;-12
176;-172;-12
177;-180;-12
178;-176;-16
179;-172;-16
180;-176;-16
181;-176;-20
182;-176;-20
183;-176;-24
184;-180;-24
185;-176;-24
186;-176;-24
187;-176;-28
188;-180;-32
189;-180;-32
190;-180;-32
191;-180;-32
192;-180;-32
193;-180;-32
194;-180;-36
195;-180;-32
196;-180;-32
197;-180;-32
198;-180;-28
199;-180;-28
200;-180;-28
201;-180;-24
202;-180;-20
203;-180;-20
204;-176;-16
205;-172;-12
206;-176;-12
207;-176;-8
208;-176;-4
209;-180;-4
210;-176;0
211;-176;0
212;-180;0
213;-176;4
214;-172;4
215;-168;0
216;-176;4
217;-172;4
218;-172;8
219;-172;4
220;-168;4
221;-168;4
222;-168;4
223;-168;0
224;-164;0
225;-164;4
226;-164;0
227;-164;0
228;-160;0
229;-160;0
230;-160;0
231;-156;0
232;-156;-4
233;-164;-4
234;-152;-4
235;-156;-4
236;-152;-4
237;-152;-4
238;-148;-4
239;-148;-4
240;-136;-4
241;-144;-4
242;-144;-8
243;-140;-8
244;-140;-4
245;-140;-8
246;-136;-8
247;-128;-8
248;-136;-4
249;-132;-8
250;-132;-8
251;-132;-8
252;-128;-8
253;-128;-8
254;-124;-8
255;-124;-8
256;-124;-8
257;-120;-8
258;-120;-8
259;-124;-8
260;-116;-8
261;-112;-8
262;-108;-12
263;-112;-8
264;-108;-12
265;-104;-8
266;-104;-12
267;-100;-12
268;-96;-12
269;-96;-12
270;-92;-16
271;-92;-16
272;-92;-20
273;-84;-24
274;-88;-24
275;-84;-24
276;-84;-28
277;-80;-24
278;-76;-32
279;-76;-28
280;-80;-32
281;-68;-32
282;-68;-32
283;-68;-32
284;-64;-32
285;-60;-32
286;-60;-32
287;-68;-32
288;-56;-28
289;-56;-28
290;-52;-28
291;-48;-28
292;-44;-24
293;-44;-20
294;-44;-20
295;-36;-16
296;-36;-16
297;-36;-12
298;-32;-8
299;-28;-4
300;-28;-4
301;-16;-4
302;-24;0
303;-24;0
304;-20;0
305;-16;4
306;-8;4
307;-12;4
308;-4;4
309;-8;4
310;0;4
311;0;4
312;0;4
313;4;0
314;4;0
315;12;0
316;8;0
317;12;0
318;16;-4
319;16;-4
320;16;-4
321;24;0
322;8;-4
323;24;0
324;28;-4
325;32;-4
326;32;-8
327;28;-4
328;40;-8
329;28;-4
330;40;-4
331;44;-8
332;48;-8
333;48;-8
334;56;-8
335;56;-8
336;56;-4
337;56;-8
338;60;-8
339;64;-8
340;64;-8
341;68;-8
342;68;-8
343;72;-8
344;72;-8
345;76;-8
346;76;-8
347;76;-8
348;84;-8
349;84;-8
350;88;-8
351;88;-12
352;88;-8
353;96;-8
354;92;-8
355;104;-8
356;100;-8
357;100;-8
358;100;-8
359;104;40
360;104;40
361;108;40
362;120;36
363;112;36
364;116;32
365;120;32
366;116;32
367;120;32
368;124;32
369;124;24
370;124;20
371;128;20
372;128;20
373;132;20
374;132;20
375;132;16
376;132;16
377;140;16
378;140;16
379;140;12
380;144;16
381;144;12
382;148;12
383;144;16
384;148;16
385;152;16
386;152;20
387;152;24
388;156;24
